# Time,Pump,Signal,Idler,Depletion_pct
0.000000000000000000e+00,2.563436436113117001e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.515151515151515194e-01,2.560172059542269007e+00,1.323114690076677459e-03,1.323114690076677459e-03,1.273437688900800890e-01
3.030303030303030387e-01,2.554265349542482078e+00,5.290032905107949594e-03,5.290032905107949594e-03,3.577653200771712116e-01
4.545454545454545858e-01,2.545716632597760487e+00,1.190042704780138599e-02,1.190042704780138599e-02,6.912519173763741476e-01
6.060606060606060774e-01,2.534522106671722508e+00,2.115809804209398473e-02,2.115809804209398473e-02,1.127951878738084224e+00
7.575757575757575690e-01,2.520674317658301522e+00,3.307049888245187225e-02,3.307049888245187225e-02,1.668155989842086795e+00
9.090909090909091717e-01,2.504162799257354965e+00,4.764809475825645263e-02,4.764809475825645263e-02,2.312272542464027580e+00
1.060606060606060552e+00,2.484974860054839585e+00,6.490357597363276276e-02,6.490357597363276276e-02,3.060796630371962479e+00
1.212121212121212155e+00,2.463096555604714410e+00,8.485088586554341561e-02,8.485088586554341561e-02,3.914272228280634369e+00
1.363636363636363757e+00,2.438513781431464356e+00,1.075041278012650453e-01,1.075041278012650453e-01,4.873249553676085810e+00
1.515151515151515138e+00,2.411213523419876825e+00,1.328763147886110052e-01,1.328763147886110052e-01,5.938236288942372987e+00
1.666666666666666741e+00,2.381185222787361333e+00,1.609780045036112162e-01,1.609780045036112162e-01,7.109644333607867850e+00
1.818181818181818343e+00,2.348422264679416394e+00,1.918158106950450525e-01,1.918158106950450525e-01,8.387731734035968501e+00
1.969696969696969724e+00,2.312923547968960492e+00,2.253908333851077361e-01,2.253908333851077361e-01,9.772541445342165289e+00
2.121212121212121104e+00,2.274695148157444891e+00,2.616969959683004276e-01,2.616969959683004276e-01,1.126383646139805350e+01
2.272727272727272929e+00,2.233752021336928628e+00,3.007193412493506801e-01,3.007193412493506801e-01,1.286103334304172208e+01
2.424242424242424310e+00,2.190119709978540108e+00,3.424323256547541217e-01,3.424323256547541217e-01,1.456313567504053097e+01
2.575757575757575690e+00,2.143836126011124499e+00,3.867980361541236145e-01,3.867980361541236145e-01,1.636866450795336903e+01
2.727272727272727515e+00,2.094953154698941944e+00,4.337645863824899917e-01,4.337645863824899362e-01,1.827559579064601536e+01
2.878787878787878896e+00,2.043538340107883045e+00,4.832644311740889043e-01,4.832644311740889043e-01,2.028129462002748795e+01
3.030303030303030276e+00,1.989676393164496737e+00,5.352128585033300023e-01,5.352128585033300023e-01,2.238245641146460940e+01
3.181818181818182101e+00,1.933470431892474695e+00,5.895067492483115901e-01,5.895067492483115901e-01,2.457505851699002974e+01
3.333333333333333481e+00,1.875043401796761877e+00,6.460231568067129615e-01,6.460231568067129615e-01,2.685430481592711160e+01
3.484848484848484862e+00,1.814538750175204385e+00,7.046186327841392760e-01,7.046186327841392760e-01,2.921459940990188642e+01
3.636363636363636687e+00,1.752121301456640134e+00,7.651283516560382081e-01,7.651283516560382081e-01,3.164951247578646232e+01
3.787878787878788067e+00,1.687977785847219581e+00,8.273655821213723449e-01,8.273655821213723449e-01,3.415175964313499435e+01
3.939393939393939448e+00,1.622316448068616968e+00,8.911220783644095977e-01,8.911220783644095977e-01,3.671321725735863595e+01
4.090909090909090828e+00,1.555367581875430449e+00,9.561675455373240817e-01,9.561675455373239707e-01,3.932490152812992790e+01
4.242424242424242209e+00,1.487382261703989350e+00,1.022250908111385526e+00,1.022250908111385526e+00,4.197701800793333859e+01
4.393939393939394478e+00,1.418631367516052233e+00,1.089101285033261979e+00,1.089101285033261979e+00,4.465899963304367049e+01
4.545454545454545858e+00,1.349404955288727948e+00,1.156428619235098321e+00,1.156428619235098321e+00,4.735953128079893304e+01
4.696969696969697239e+00,1.280009683998279524e+00,1.223926250650709147e+00,1.223926250650709147e+00,5.006665014330800290e+01
4.848484848484848619e+00,1.210767436700022959e+00,1.291272295135682979e+00,1.291272295135682979e+00,5.276779951930918600e+01
5.000000000000000000e+00,1.142012144225047265e+00,1.358132820770660665e+00,1.358132820770660665e+00,5.544995272218821469e+01
5.151515151515151381e+00,1.074087572107928157e+00,1.424164060933621245e+00,1.424164060933621245e+00,5.809969941222556855e+01
5.303030303030302761e+00,1.007344550082172274e+00,1.489015184804433289e+00,1.489015184804433289e+00,6.070335367435180274e+01
5.454545454545455030e+00,9.421366437174101272e-01,1.552332625727666171e+00,1.552332625727666171e+00,6.324712286816242113e+01
5.606060606060606410e+00,8.788177593972822388e-01,1.613762476234702037e+00,1.613762476234702037e+00,6.571720105805258072e+01
5.757575757575757791e+00,8.177378167243589679e-01,1.672954815638814097e+00,1.672954815638814097e+00,6.809993783328299344e+01
5.909090909090909172e+00,7.592395374163207755e-01,1.729566921138986135e+00,1.729566921138986135e+00,7.038196357357161048e+01
6.060606060606060552e+00,7.036543693280072898e-01,1.783267343797864335e+00,1.783267343797864335e+00,7.255034845354140316e+01
6.212121212121211933e+00,6.512988463363270641e-01,1.833739548656846186e+00,1.833739548656846186e+00,7.459274444409952309e+01
6.363636363636364202e+00,6.024713714719990287e-01,1.880685131604334037e+00,1.880685131604334037e+00,7.649751080290046445e+01
6.515151515151515582e+00,5.574482115251830905e-01,1.923827824770112604e+00,1.923827824770112604e+00,7.825387032531885723e+01
6.666666666666666963e+00,5.164806845755847142e-01,1.962916308995236836e+00,1.962916308995236836e+00,7.985201905927836208e+01
6.818181818181818343e+00,4.797921529314875810e-01,1.997727220892999700e+00,1.997727220892999700e+00,8.128324361110408347e+01
6.969696969696969724e+00,4.475755757145013503e-01,2.028067600264187309e+00,2.028067600264187309e+00,8.254001661952068503e+01
7.121212121212121104e+00,4.199911783522813913e-01,2.053777220604353637e+00,2.053777220604353637e+00,8.361608766905472123e+01
7.272727272727273373e+00,3.971646020529133181e-01,2.074730439629439260e+00,2.074730439629439260e+00,8.450655547928758438e+01
7.424242424242424754e+00,3.791858175232915573e-01,2.090837285557392011e+00,2.090837285557392011e+00,8.520791028084774155e+01
7.575757575757576134e+00,3.661081239979679380e-01,2.102044458079313838e+00,2.102044458079313838e+00,8.571807286342976795e+01
7.727272727272727515e+00,3.579478189882877026e-01,2.108335658610327901e+00,2.108335658610327901e+00,8.603640745892508335e+01
7.878787878787878896e+00,3.546843126566588955e-01,2.109731475915308074e+00,2.109731475915308074e+00,8.616371727966622984e+01
8.030303030303031164e+00,3.562607578229659566e-01,2.106288756102465243e+00,2.106288756102465243e+00,8.610221994179202909e+01
8.181818181818181657e+00,3.625850476578987291e-01,2.098099604930013129e+00,2.098099604930013129e+00,8.585550854509665442e+01
8.333333333333333925e+00,3.735313594233813372e-01,2.085289844065744358e+00,2.085289844065744358e+00,8.542849145150800894e+01
8.484848484848484418e+00,3.889420896900265268e-01,2.068017075869575727e+00,2.068017075869575727e+00,8.482731679199460473e+01
8.636363636363636687e+00,4.086300162320546936e-01,2.046468521498622906e+00,2.046468521498622906e+00,8.405928813075421147e+01
8.787878787878788955e+00,4.323810668301285576e-01,2.020858252104368979e+00,2.020858252104368979e+00,8.313275645384294421e+01
8.939393939393939448e+00,4.599570450721456871e-01,1.991424463031872261e+00,1.991424463031872483e+00,8.205701383531987858e+01
9.090909090909091717e+00,4.910987316468130581e-01,1.958426372526188786e+00,1.958426372526188786e+00,8.084217245536794394e+01
9.242424242424242209e+00,5.255293422242323098e-01,1.922140763851786893e+00,1.922140763851786893e+00,7.949902970790721213e+01
9.393939393939394478e+00,5.629575016158360201e-01,1.882859011132612892e+00,1.882859011132612892e+00,7.803895217821605002e+01
9.545454545454544970e+00,6.030810367177199538e-01,1.840883286408755204e+00,1.840883286408755204e+00,7.647372767970176710e+01
9.696969696969697239e+00,6.455902123263631553e-01,1.796523323820722551e+00,1.796523323820722551e+00,7.481543902429437765e+01
9.848484848484849508e+00,6.901710899097851515e-01,1.750093060838290970e+00,1.750093060838290970e+00,7.307633299633219792e+01
1.000000000000000000e+01,7.365087970483475965e-01,1.701907368819695954e+00,1.701907368819695954e+00,7.126869281123663313e+01
