# Time,Pump,Signal,Idler,Depletion_pct
0.000000000000000000e+00,2.332072804022442103e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.020202020202020166e-01,2.324710559608008431e+00,5.949295167136884471e-03,5.949295167136884471e-03,3.156953076994427621e-01
4.040404040404040331e-01,2.305409777397708915e+00,2.383798420357595427e-02,2.383798420357595080e-02,1.143318792567018294e+00
6.060606060606060774e-01,2.274032847812185398e+00,5.380367616999899572e-02,5.380367616999899572e-02,2.488771195742573994e+00
8.080808080808080662e-01,2.230367093098009956e+00,9.605904830147016238e-02,9.605904830147016238e-02,4.361172204787368223e+00
1.010101010101010166e+00,2.174174342868605780e+00,1.508422704665244307e-01,1.508422704665244307e-01,6.770734639222560247e+00
1.212121212121212155e+00,2.105259400775367329e+00,2.183485384960310305e-01,2.183485384960310305e-01,9.725828578587210060e+00
1.414141414141414144e+00,2.023555546155406670e+00,2.986445725354586189e-01,2.986445725354586189e-01,1.322931502545263172e+01
1.616161616161616132e+00,1.929222937247644154e+00,3.915702138287814327e-01,3.915702138287813217e-01,1.727432634521307264e+01
1.818181818181818121e+00,1.822753117902003117e+00,4.966339180092845806e-01,4.966339180092845251e-01,2.183978498621253550e+01
2.020202020202020332e+00,1.705069321659117287e+00,6.129124510198538101e-01,6.129124510198538101e-01,2.688610240991820532e+01
2.222222222222222321e+00,1.577610601944689162e+00,7.389667589186204033e-01,7.389667589186206254e-01,3.235157156227840147e+01
2.424242424242424310e+00,1.442384834001496863e+00,8.727889659469533212e-01,8.727889659469532102e-01,3.815009413455616993e+01
2.626262626262626299e+00,1.301978071483105515e+00,1.011793017935745276e+00,1.011793017935745276e+00,4.417077934970951958e+01
2.828282828282828287e+00,1.159510011518797512e+00,1.152859217240484346e+00,1.152859217240484346e+00,5.027985363412182807e+01
3.030303030303030276e+00,1.018530889161032515e+00,1.292437328293794652e+00,1.292437328293794874e+00,5.632508181544613990e+01
3.232323232323232265e+00,8.828634221355976530e-01,1.426704632855286370e+00,1.426704632855286370e+00,6.214254458039203399e+01
3.434343434343434254e+00,7.564003877580749435e-01,1.551768353095080988e+00,1.551768353095080988e+00,6.756531843888369337e+01
3.636363636363636243e+00,6.428773056682737241e-01,1.663892968859391530e+00,1.663892968859391530e+00,7.243322315841014358e+01
3.838383838383838231e+00,5.456428384729291592e-01,1.759729817027811727e+00,1.759729817027811727e+00,7.660266705517146590e+01
4.040404040404040664e+00,4.674521167086183038e-01,1.836523766550403058e+00,1.836523766550403058e+00,7.995550928331482510e+01
4.242424242424242209e+00,4.103059167800570117e-01,1.892274040509405175e+00,1.892274040509405397e+00,8.240595593446539624e+01
4.444444444444444642e+00,3.753513347164629810e-01,1.925833542362862527e+00,1.925833542362862971e+00,8.390481917764130060e+01
4.646464646464646187e+00,3.628526513541878162e-01,1.936937990761995687e+00,1.936937990761995687e+00,8.444076656919429524e+01
4.848484848484848619e+00,3.722309645443286352e-01,1.926166287343596295e+00,1.926166287343596073e+00,8.403862161154268051e+01
5.050505050505050164e+00,4.021629565434958753e-01,1.894841749339244430e+00,1.894841749339243986e+00,8.275512857703965608e+01
5.252525252525252597e+00,4.507226387392238576e-01,1.844890364849911313e+00,1.844890364849911535e+00,8.067287445049736050e+01
5.454545454545454142e+00,5.155464423379614303e-01,1.778675702157962890e+00,1.778675702157962890e+00,7.789320978964599362e+01
5.656565656565656575e+00,5.940031188180019406e-01,1.698829009274230195e+00,1.698829009274230417e+00,7.452896334139121848e+01
5.858585858585858119e+00,6.833505341385552878e-01,1.608092419728938349e+00,1.608092419728938349e+00,7.069771865784430531e+01
6.060606060606060552e+00,7.808681625118014669e-01,1.509186458799649300e+00,1.509186458799648856e+00,6.651613272257486642e+01
6.262626262626262097e+00,8.839584003016194291e-01,1.404708729612535345e+00,1.404708729612535345e+00,6.209559157943368746e+01
6.464646464646464530e+00,9.902152242706954155e-01,1.297065254895273023e+00,1.297065254895272801e+00,5.753926624577341187e+01
6.666666666666666963e+00,1.097463567028813314e+00,1.188431101528748313e+00,1.188431101528748535e+00,5.294042428110009268e+01
6.868686868686868507e+00,1.203775000182565780e+00,1.080734697397347288e+00,1.080734697397347288e+00,4.838175728878395887e+01
7.070707070707070940e+00,1.307467158040680033e+00,9.756584076836287700e-01,9.756584076836287700e-01,4.393540562775252312e+01
7.272727272727272485e+00,1.407093383361111449e+00,8.746488891212340633e-01,8.746488891212339523e-01,3.966340240604381506e+01
7.474747474747474918e+00,1.501428344980044516e+00,7.789314723658807837e-01,7.789314723658810058e-01,3.561829020130385715e+01
7.676767676767676463e+00,1.589452588566510283e+00,6.895256112407501803e-01,6.895256112407501803e-01,3.184378352918631450e+01
7.878787878787878896e+00,1.670337015795689162e+00,6.072604035631804509e-01,6.072604035631803399e-01,2.837543438118087380e+01
8.080808080808081328e+00,1.743426370931017377e+00,5.327911045625582931e-01,5.327911045625582931e-01,2.524134032505788028e+01
8.282828282828281985e+00,1.808219752567985061e+00,4.666186151365319112e-01,4.666186151365318002e-01,2.246298016729566172e+01
8.484848484848484418e+00,1.864346378843741991e+00,4.091137166413909565e-01,4.091137166413909565e-01,2.005625314835578621e+01
8.686868686868686851e+00,1.911535938945645441e+00,3.605467193835230622e-01,3.605467193835230622e-01,1.803275027912678041e+01
8.888888888888889284e+00,1.949585395099035612e+00,3.211206606316462930e-01,3.211206606316463485e-01,1.640117788191168913e+01
9.090909090909089940e+00,1.978325919820854484e+00,2.910043673631755867e-01,2.910043673631755867e-01,1.516877533117458654e+01
9.292929292929292373e+00,1.997595816290731463e+00,2.703595358931513704e-01,2.703595358931514259e-01,1.434247623636761304e+01
9.494949494949494806e+00,2.007225728675513743e+00,2.593555215496993194e-01,2.593555215496992639e-01,1.392954262776962082e+01
9.696969696969697239e+00,2.007041294282905675e+00,2.581666865203936512e-01,2.581666865203936512e-01,1.393745123132135966e+01
9.898989898989899672e+00,1.996886003772833096e+00,2.669495396408945731e-01,2.669495396408946286e-01,1.437291321572237734e+01
1.010101010101010033e+01,1.976662751733441414e+00,2.858011858189473675e-01,2.858011858189473675e-01,1.524009249093668039e+01
1.030303030303030276e+01,1.946388751794094540e+00,3.147044109213828489e-01,3.147044109213828489e-01,1.653825093123619538e+01
1.050505050505050519e+01,1.906254637949471586e+00,3.534685804500252715e-01,3.534685804500253270e-01,1.825921409222320335e+01
1.070707070707070763e+01,1.856677337069088773e+00,4.016767670321632622e-01,4.016767670321632622e-01,2.038510402133991306e+01
1.090909090909090828e+01,1.798335950584033505e+00,4.586498687338221858e-01,4.586498687338222968e-01,2.288680064009152204e+01
1.111111111111111072e+01,1.732183105652960409e+00,5.234352578937624401e-01,5.234352578937624401e-01,2.572345500255269357e+01
