time_s,counts
0.0009,33.0
0.00095,31.0
0.001,37.0
0.00105,38.0
0.0011,44.0
0.00115,43.0
0.0012,46.0
0.0059,39.0
0.00595,34.0
0.006,41.0
0.00605,36.0
0.0061,23.0
0.00615,27.0
0.0062,46.0
0.0109,40.0
0.01095,42.0
0.011,42.0
0.01105,40.0
0.0111,40.0
0.01115,40.0
0.0112,43.0
0.0159,30.0
0.01595,41.0
0.016,32.0
0.01605,34.0
0.0161,37.0
0.01615,42.0
0.0162,29.0
0.0209,43.0
0.02095,33.0
0.021,40.0
0.02105,43.0
0.0211,44.0
0.02115,28.0
0.0212,39.0
0.0259,40.0
0.02595,29.0
0.026,27.0
0.02605,47.0
0.0261,35.0
0.02615,42.0
0.0262,35.0
0.0309,29.0
0.03095,39.0
0.031,47.0
0.03105,37.0
0.0311,37.0
0.03115,34.0
0.0312,42.0
0.0359,42.0
0.03595,39.0
0.036,36.0
0.03605,36.0
0.0361,44.0
0.03615,46.0
0.0362,32.0
0.0409,36.0
0.04095,41.0
0.041,28.0
0.04105,31.0
0.0411,44.0
0.04115,28.0
0.0412,29.0
0.0459,39.0
0.04595,32.0
0.046,44.0
0.04605,36.0
0.0461,44.0
0.04615,40.0
0.0462,21.0
0.0509,34.0
0.05095,35.0
0.051,34.0
0.05105,34.0
0.0511,24.0
0.05115,36.0
0.0512,29.0
0.0559,32.0
0.05595,31.0
0.056,36.0
0.05605,42.0
0.0561,39.0
0.05615,33.0
0.0562,24.0
0.0609,27.0
0.06095,33.0
0.061,39.0
0.06105,34.0
0.0611,23.0
0.06115,33.0
0.0612,23.0
0.0659,29.0
0.06595,34.0
0.066,35.0
0.06605,37.0
0.0661,42.0
0.06615,43.0
0.07085,29.0
0.0709,38.0
0.07095,27.0
0.071,39.0
0.07105,33.0
0.0711,30.0
0.07115,35.0
0.0712,21.0
0.07585,36.0
0.0759,43.0
0.07595,37.0
0.076,43.0
0.07605,40.0
0.0761,40.0
0.07615,46.0
0.08085,27.0
0.0809,51.0
0.08095,41.0
0.081,34.0
0.08105,39.0
0.0811,37.0
0.08115,42.0
0.08585,22.0
0.0859,40.0
0.08595,41.0
0.086,31.0
0.08605,37.0
0.0861,33.0
0.08615,42.0
0.09085,25.0
0.0909,56.0
0.09095,35.0
0.091,34.0
0.09105,38.0
0.0911,27.0
0.09115,37.0
0.09585,27.0
0.0959,24.0
0.09595,34.0
0.096,49.0
0.09605,43.0
0.0961,30.0
0.09615,31.0
0.10085,43.0
0.1009,26.0
0.10095,31.0
0.101,49.0
0.10105,49.0
0.1011,28.0
0.10115,45.0
0.10585,30.0
