,"h,h","h,v","h,d","h,a","h,r","h,l","v,h","v,v","v,d","v,a","v,r","v,l","d,h","d,v","d,d","d,a","d,r","d,l","a,h","a,v","a,d","a,a","a,r","a,l","r,h","r,v","r,d","r,a","r,r","r,l","l,h","l,v","l,d","l,a","l,r","l,l"
"h,h",1.0909090909090908,1.0792020647488882,1.0792061024049175,1.0790935897147302,1.0780084316845269,1.080442551859891,1.0796757552512695,1.067590242600331,1.074525796063616,1.0805935407422023,1.0794880038918593,1.0698668401958396,1.0804327442015413,1.0762330469594912,0.5837852996049706,0.4493826890033541,1.0782989349317926,1.0720849610036711,1.0751628231742705,1.0807877926938152,0.4497328768440956,0.5830448349767957,1.07615793696235,1.0787997363536093,1.0792610593508654,1.0726311847073124,1.076749858302009,1.0809228510518807,0.5861930648414937,0.445675926260228,1.069514006809944,1.0805093895647093,1.0801047949589835,1.0784543832029718,0.4493535948259318,0.5826012956330546
"h,v",1.0792020647488882,1.090909090909091,1.090414677800947,1.09034769335889,1.090365505682273,1.0902609385639908,1.0904209723956209,1.071502756338677,1.0887857188667787,1.0891803006814966,1.0848512023821368,1.0859586507123489,1.089082006430155,1.0898656150370247,0.5334464171309221,0.5123847671283884,1.082093573144618,1.0875745365060707,1.0889892713424012,1.09025247332663,0.5127045638325393,0.5326835126584115,1.0897247284614018,1.0902698946653575,1.0843137856431098,1.08805467075946,1.0895748476587235,1.0901576195603417,0.5359345067543624,0.5087555878974747,1.0855372628629103,1.088301469606562,1.0894944446888508,1.0901546992299531,0.5122929248304938,0.5321789802432466
"h,d",1.0792061024049175,1.090414677800947,1.0909090909090908,1.0903716035704547,1.0904155388527066,1.0902382264258592,1.0904445649907228,1.0719764449810616,1.0889636670767295,1.0890443865486084,1.084588021279592,1.086229103417585,1.0889503405794467,1.08996089344702,0.5311084031630608,0.5147455600414108,1.0817533442469711,1.0877956207118602,1.0891582839010647,1.0902293182554086,0.5150718078998489,0.5303389909609251,1.0898434861366022,1.0903051137693458,1.0840305137890955,1.0882530875757843,1.089718165338168,1.0901709904187453,0.533593174313346,0.5111293994725616,1.0858174708541113,1.0881267654359916,1.0893589083941537,1.090198565453445,0.5146636070326579,0.5298322077354509
"h,a",1.0790935897147302,1.09034769335889,1.0903716035704547,1.090909090909091,1.0903281242695881,1.090235083142419,1.0903937821010676,1.071341113071081,1.0887116376345003,1.0891686671099077,1.084867934601275,1.0858666329469955,1.0890755766223257,1.0898136779436758,0.5338467462017344,0.5119218907054792,1.082109785455804,1.08749962632265,1.088918571783987,1.0902239431847098,0.5122469811501433,0.5331005209901357,1.0896855844848354,1.0902209686294109,1.0843296026294054,1.087990302177108,1.0895439200550276,1.0901152759429587,0.5363492758920494,0.508299633769749,1.08543482387501,1.0882919442153425,1.0894518031469138,1.0901261072162007,0.511837505851053,0.53259425725691
"h,r",1.0780084316845269,1.090365505682273,1.0904155388527066,1.0903281242695881,1.0909090909090906,1.0899845114850455,1.090383525906716,1.0728009490928136,1.089563274413361,1.088369941063456,1.0832816377683279,1.0872648881455362,1.0882640244635544,1.090297902750142,0.5204330744017395,0.5254822684160586,1.0801814792986746,1.0886204168339682,1.0897216627342838,1.0899633140030813,0.5258067157740606,0.5196584921565066,1.0902086828092075,1.090366296419437,1.082675748895559,1.0890070409062136,1.090056930451991,1.0900196618623648,0.5229297059608442,0.5218919201422159,1.0868942524301994,1.087285818920954,1.0887993901324093,1.090259958593049,0.525398129157427,0.5191455070045453
"h,l",1.080442551859891,1.0902609385639908,1.0902382264258592,1.090235083142419,1.0899845114850455,1.0909090909090908,1.0903269762604177,1.0697013959540351,1.0876868806483593,1.0899674906831698,1.086592608822098,1.0841974884679886,1.0898956348018911,1.0891699774161339,0.5493734434420134,0.4960896648180003,1.0842251498140443,1.0861472659517184,1.0879438324655444,1.0904591364458698,0.4964183744335933,0.5486230868700178,1.0890056999546092,1.0899704274057354,1.0861241210240942,1.0867510828619475,1.088887631392084,1.0901751159169368,0.551843882124514,0.4924359752552844,1.0837119191549967,1.089337522089933,1.090088920278584,1.0898816308653614,0.49600627620283655,0.5481228235337574
"v,h",1.0796757552512695,1.0904209723956209,1.0904445649907228,1.0903937821010676,1.090383525906716,1.0903269762604177,1.0909090909090908,1.0718186019346998,1.0887828418659058,1.0892580711547524,1.0849900266081152,1.0859259625950384,1.0891632037981311,1.0898602618095399,0.5344465047375785,0.5113881772268376,1.0822457420754232,1.0875491102410677,1.088995649347039,1.0903240813662334,0.5117145891062657,0.5336792667794059,1.0897357125873586,1.0902952016913852,1.0844535011564251,1.0880256411913543,1.0896229995142814,1.0902379809180003,0.5369287470367994,0.5077634387454124,1.08549976755008,1.0883885311315793,1.0895311189877552,1.0901880403591875,0.5113066268478026,0.5331750433967644
"v,v",1.067590242600331,1.071502756338677,1.0719764449810616,1.071341113071081,1.0728009490928136,1.0697013959540351,1.0718186019346998,1.0909090909090906,1.0769463202977916,1.0635351702527487,1.0529739172889472,1.0790166185666201,1.0631108264126121,1.0741457856464018,0.4196073402067549,0.6082131859826743,1.0476861926852261,1.0776968038715522,1.0770633397098177,1.069906633891863,0.6085493456417828,0.4187060895317819,1.0744571572805885,1.0728233895763064,1.051946076835009,1.0767762421395024,1.0752071782956372,1.072351587501934,0.4221342851886971,0.6048242361277485,1.0793331873451744,1.0608503145825432,1.0646478188235127,1.0721184607459855,0.6082136315518272,0.4182197355872809
"v,d",1.074525796063616,1.0887857188667787,1.0889636670767295,1.0887116376345003,1.089563274413361,1.0876868806483593,1.0887828418659058,1.0769463202977916,1.0909090909090908,1.0846123837787303,1.0772367763776853,1.0896988861792787,1.084439139436861,1.0900212642535627,0.4814702513886141,0.5633621313078059,1.0731948414176768,1.0901703477925624,1.090394516523396,1.0876549598877392,0.5636818122928671,0.4807097580171247,1.0900443186381144,1.0892931015006717,1.076439646708078,1.0902491972043324,1.0899501571343617,1.088304250107357,0.48405451039085445,0.559855693102694,1.0895174074502143,1.082907214649337,1.0854265302952815,1.089035570607506,0.5632834448080895,0.4801954497505321
"v,a",1.0805935407422023,1.0891803006814966,1.0890443865486084,1.0891686671099077,1.088369941063456,1.0899674906831698,1.0892580711547524,1.0635351702527487,1.0846123837787303,1.0909090909090908,1.089211817771586,1.0797513236931815,1.090657617101737,1.0869778858060393,0.5809269389393077,0.4629892978784278,1.0876653314744438,1.082428016734408,1.0849560730274985,1.0899941004895406,0.46332601571004256,0.5801490240625726,1.0867349420725956,1.0884781189298245,1.0889056584884234,1.0833236013382144,1.0865501218780313,1.0892129470314604,0.5833027816975425,0.45928972642242255,1.079119457119965,1.090567767061902,1.0904822894963753,1.0885089914867585,0.46290057578623645,0.579651227569449
