,"h,h","h,v","h,d","h,a","h,r","h,l","v,h","v,v","v,d","v,a","v,r","v,l","d,h","d,v","d,d","d,a","d,r","d,l","a,h","a,v","a,d","a,a","a,r","a,l","r,h","r,v","r,d","r,a","r,r","r,l","l,h","l,v","l,d","l,a","l,r","l,l"
"h,h",1.0909090909090908,1.077795074705232,1.0780110340596627,1.0778211502395476,1.077209407433181,1.0792694829779022,1.0784590291333733,1.0744457440575168,1.0734145145938716,1.080800788877849,1.0796772367614897,1.0688562289329109,1.080530492704745,1.0750658755212354,0.5835121492394947,0.44888363193699166,1.0784118489823635,1.070799904735581,1.0740538494674365,1.0795463895561839,0.44916671231978195,0.5829344339628695,1.074824713167182,1.0779222313083645,1.0794442441950634,1.0710336707991601,1.0759859217375585,1.0799998162074138,0.5862422532217798,0.4449127967460297,1.0684017443533689,1.0806094703505316,1.0801400377909238,1.0770788171026324,0.4488401463693705,0.5825864101760451
"h,v",1.077795074705232,1.090909090909091,1.0908828365796515,1.0908721031310686,1.0907951569286982,1.0907368586612702,1.0908867908944946,1.0698521660381628,1.0892494531072325,1.089451615066333,1.0851356343954937,1.0863772942644607,1.0893841153847057,1.0903680170086767,0.5331751805289834,0.5119927546453449,1.082357965159545,1.0880514661786358,1.0894264188717966,1.0906844566995868,0.5123729873410471,0.5322827141282834,1.0902308108280612,1.0906539030935396,1.0845779127269841,1.0885829264020772,1.0899513034686796,1.090501535892881,0.5356191289114351,0.5084100779882674,1.0859139299329472,1.0885710693091597,1.0897702834873304,1.0906250079124478,0.5119122167191666,0.5317602094058159
"h,d",1.0780110340596627,1.0908828365796515,1.0909090909090908,1.0908310064893605,1.0908175193288023,1.0906817704928806,1.0908663130589356,1.0705908080474158,1.0893751933000098,1.0893186586280101,1.0848387804321769,1.0866360696590713,1.089218882490413,1.0904265096224923,0.5308167453107979,0.5143726274343352,1.0820413331356873,1.0882236262107012,1.0895592290894596,1.0906388338193196,0.5147432227957267,0.5299329125302737,1.0902536132316378,1.0907078891680186,1.084283230993095,1.0887154271712667,1.0899547709914317,1.090533280231839,0.53327895184026,0.510776583176331,1.0861998760915736,1.088399978597798,1.0897200544736756,1.0906142707140551,0.5142779972091707,0.5294164604873228
"h,a",1.0778211502395476,1.0908721031310686,1.0908310064893605,1.090909090909091,1.0907604374400008,1.0907228287309674,1.0908675649727095,1.0696387205662161,1.0892693412719325,1.089389386248667,1.0851565635578315,1.0862499016432612,1.0893359316964828,1.0903644290662433,0.533609694578497,0.5115375582643137,1.0823785309740115,1.0880114160761294,1.0894113813477857,1.0906579814539352,0.511913130521569,0.532673746975932,1.090210892137358,1.090473737545555,1.0846300033699574,1.0885013506134376,1.0898793017727062,1.0902919566556106,0.5360085807751023,0.507945197564818,1.0857401610834054,1.0885440392201253,1.0897016275817633,1.090697992462759,0.5114647219559797,0.5321465035989367
"h,r",1.077209407433181,1.0907951569286982,1.0908175193288023,1.0907604374400008,1.0909090909090906,1.0903835488040743,1.0907777455255148,1.071844322007548,1.0899694992232225,1.0886024254678328,1.0835227226664146,1.087632835994433,1.0885030379747849,1.0907278665789821,0.5201203618236154,0.5251284986410395,1.0804243839922325,1.0890307625006426,1.0901134399926926,1.0903466547670548,0.5255004059843665,0.5192217155069642,1.0906303730235594,1.0906989621489216,1.0829105035824065,1.089453067617596,1.0903798738547026,1.0903368313935482,0.522587792676161,0.5215623985205589,1.0872428501616451,1.0875271096727255,1.0890733560201262,1.0906734822056545,0.5250466725285186,0.5186989687669282
"h,l",1.0792694829779022,1.0907368586612702,1.0906817704928806,1.0907228287309674,1.0903835488040743,1.0909090909090908,1.0907541443151665,1.0682721762730063,1.088112004306006,1.090223166233037,1.086857841924724,1.0845911746097945,1.0901743286344245,1.0896331906238221,0.5491461120574759,0.49567607830465954,1.0845206649834345,1.0865545862435302,1.0883501052951923,1.0908465264614493,0.4960516038200076,0.5482533588831094,1.089428275147523,1.0903270745504472,1.08638098698485,1.087202562651019,1.0891387199459188,1.0904262526392914,0.5515665047886428,0.4920561569824583,1.0840417608232271,1.089609811949869,1.0903909254939517,1.0903531681281933,0.4955908845005298,0.5477443043462665
"v,h",1.0784590291333733,1.0908867908944946,1.0908663130589356,1.0908675649727095,1.0907777455255148,1.0907541443151665,1.0909090909090908,1.0704732143858031,1.0892225962660744,1.0895097703701144,1.0852662185511044,1.0862773267815362,1.0894380290787056,1.0903231633712303,0.5341636397002261,0.5110063202914696,1.0825200943780324,1.0879942751054987,1.0894042918873876,1.0907409706942974,0.5113770496028709,0.5332827191510708,1.090218092090574,1.0906104597230326,1.0847559857173865,1.0885036027094976,1.0899956767073689,1.0905014600503566,0.5366134660071653,0.5074113374196149,1.0858262777293903,1.0886764959833188,1.0897857386014964,1.090684939970324,0.5109284117450591,0.5327578995153429
"v,v",1.0744457440575168,1.0698521660381628,1.0705908080474158,1.0696387205662161,1.071844322007548,1.0682721762730063,1.0704732143858031,1.0909090909090906,1.075377015998849,1.0638073210222818,1.0530575849592376,1.0778523336025057,1.0633077657410435,1.0726613240773428,0.4188355353468598,0.6080341517756268,1.0478676523554882,1.0761631326751597,1.075711365635972,1.0686805142019817,0.6082496033345846,0.4183591355736169,1.0730806056399418,1.072292491372722,1.0520636359260045,1.0752242709272393,1.074573738797295,1.0714743678721141,0.4219818744443474,0.6044427030736023,1.078403365660392,1.0611104159957525,1.0647955346031224,1.0709380922429372,0.6079919530088468,0.4180070140945153
"v,d",1.0734145145938716,1.0892494531072325,1.0893751933000098,1.0892693412719325,1.0899694992232225,1.088112004306006,1.0892225962660744,1.075377015998849,1.0909090909090908,1.084801862639026,1.0775134805967992,1.0900099019078209,1.084645400071087,1.0905694235354246,0.4810852252727722,0.5631732305228238,1.0734178659256601,1.0907057589363758,1.0908824949689275,1.0880623691758853,0.5635266212197534,0.48014490229901713,1.0905784945769115,1.0894126671178415,1.0767797082106236,1.09072243216286,1.0903336927626612,1.0884051501245116,0.48356827134690616,0.5596667650620911,1.0897608468668583,1.0831448140382482,1.0856220303193485,1.0895895658471506,0.5631021469561734,0.47959588897738636
"v,a",1.080800788877849,1.089451615066333,1.0893186586280101,1.089389386248667,1.0886024254678328,1.090223166233037,1.0895097703701144,1.0638073210222818,1.084801862639026,1.0909090909090908,1.0894119765818369,1.080030975786354,1.0908855547163714,1.087184035610195,0.5806946754201802,0.4625152965478456,1.0878597189214978,1.0826547348334534,1.0851709303437955,1.090255213839961,0.4629015060690705,0.5798785282682734,1.0869486134572757,1.0888152695604891,1.0890720531783622,1.0835732728057321,1.0867882407082743,1.0896198081047732,0.5831217191449687,0.45883078654394976,1.0794311239170549,1.0907698790179896,1.0907313096606888,1.0886701679315838,0.46242972136161237,0.5793829052946904
"v,r",1.0796772367614897,1.0851356343954937,1.0848387804321769,1.0851565635578315,1.0835227226664146,1.086857841924724,1.0852662185511044,1.0530575849592376,1.0775134805967992,1.0894119765818369,1.0909090909090908,1.0705743201838236,1.0894766466023786,1.0811923408177309,0.627853127055152,0.41064294469561874,1.090592909827946,1.0743410496758101,1.0780029273107843,1.0869356509206864,0.41103573189623077,0.6270351408140146,1.0808433572599923,1.0838255292569252,1.0908441960248754,1.0756326090648427,1.0806547663618822,1.0854878622632533,0.6301624907779678,0.40687167043953204,1.069736262835259,1.090098731761836,1.088705485929555,1.0840013303268021,0.41056482182558796,0.6265468327429711
"v,l",1.0688562289329109,1.0863772942644607,1.0866360696590713,1.0862499016432612,1.087632835994433,1.0845911746097945,1.0862773267815362,1.0778523336025057,1.0900099019078209,1.080030975786354,1.0705743201838236,1.0909090909090908,1.0798153413692497,1.0887934458947155,0.445014273871773,0.596867939741868,1.0656785896102479,1.090562414084836,1.0899761635151353,1.0844625804865813,0.5972240182810266,0.44411274321597055,1.0888644433100283,1.0872714964670274,1.0695574644473758,1.0904054175372875,1.088676084435047,1.0856143861345549,0.4476249810405365,0.593464930947069,1.0908461179982234,1.0777458333825192,1.0812479210510262,1.0868386156832546,0.596783797180348,0.4435909119624487
"d,h",1.080530492704745,1.0893841153847057,1.089218882490413,1.0893359316964828,1.0885030379747849,1.0901743286344245,1.0894380290787056,1.0633077657410435,1.084645400071087,1.0908855547163714,1.0894766466023786,1.0798153413692497,1.0909090909090908,1.08706558899961,0.5819048876252545,0.46120864962541624,1.087951146457014,1.0824700747315705,1.0850198345389053,1.0901935648643548,0.4616049120582691,0.5810742630632453,1.0868485419845526,1.088709312746778,1.0891319114498363,1.0834202983435754,1.086651095431459,1.0894585380386201,0.5843190307820486,0.4575413423885992,1.0791818822982688,1.0907690697156074,1.0906621515667387,1.0886436362844862,0.46113622098899515,0.580582827736871
"d,v",1.0750658755212354,1.0903680170086767,1.0904265096224923,1.0903644290662433,1.0907278665789821,1.0896331906238221,1.0903231633712303,1.0726613240773428,1.0905694235354246,1.087184035610195,1.0811923408177309,1.0887934458947155,1.08706558899961,1.0909090909090908,0.5038653450130774,0.5411747399086378,1.077680070860186,1.0899408034975364,1.0906321257108056,1.0895846110213565,0.541540568544361,0.5029299527545615,1.0908347153131208,1.0903384123240463,1.0805240245736991,1.0902170700037768,1.090515020551721,1.0896663294872229,0.5063208656369942,0.537638260410261,1.0884543901124215,1.0858742353888102,1.087843232887401,1.0904441220260668,0.5410934902612746,0.5023928765868146
