,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",237830,273201,485,5,5.11335015296936
0,"h,v",237648,263116,112165,5,5.073085069656372
0,"h,d",238895,268883,57331,5,5.114330053329468
0,"h,a",238652,268759,55178,5,5.072553396224976
0,"h,r",238493,272519,59967,5,5.115433931350708
0,"h,l",237496,265115,52836,5,5.072728157043457
0,"v,h",247968,275051,103393,5,5.114080190658569
0,"v,v",248688,262715,690,5,5.071869850158691
0,"v,d",248481,268834,53130,5,5.1096320152282715
0,"v,a",247885,269439,51173,5,5.111194133758545
0,"v,r",247938,273872,47116,5,5.110917091369629
0,"v,l",247112,264416,57442,5,5.111175060272217
0,"d,h",243195,274541,49018,5,5.111202001571655
0,"d,v",243665,264953,58763,5,5.0727620124816895
0,"d,d",244299,269911,959,5,5.07206654548645
0,"d,a",243883,270444,107570,5,5.1116790771484375
0,"d,r",243460,273571,50974,5,5.112848997116089
0,"d,l",242989,264235,55865,5,5.072446346282959
0,"a,h",242998,274954,54221,5,5.106339454650879
0,"a,v",242899,264010,54788,5,5.067304611206055
0,"a,d",243125,269350,108409,5,5.110179424285889
0,"a,a",243517,269766,805,5,5.110246658325195
0,"a,r",243112,273573,55769,5,5.070929288864136
0,"a,l",242336,264311,54813,5,5.109155893325806
0,"r,h",239343,275621,46889,5,5.069660663604736
0,"r,v",238736,265155,63470,5,5.1098127365112305
0,"r,d",238870,269878,56834,5,5.067860126495361
0,"r,a",239020,269628,53841,5,5.107457160949707
0,"r,r",239567,273390,1234,5,5.071737051010132
0,"r,l",240206,266756,111076,5,5.069597959518433
0,"l,h",248623,276222,56169,5,5.110324144363403
0,"l,v",249140,264819,52097,5,5.112523555755615
0,"l,d",249021,271157,54375,5,5.0735228061676025
0,"l,a",247639,270762,53884,5,5.068840980529785
0,"l,r",246634,273561,105698,5,5.102487087249756
0,"l,l",247481,266567,501,5,5.069180250167847
