,basis,d1,d9,TT,t_meas,t_spent
0,"h,h",96278,110391,174,5,5.038712501525879
0,"h,v",95709,105853,44985,5,5.036534309387207
0,"h,d",95301,107569,22483,5,5.034603118896484
0,"h,a",95741,108070,22353,5,5.034355878829956
0,"h,r",95524,105418,23437,5,5.0691704750061035
0,"h,l",95290,109750,21319,5,5.036117076873779
0,"v,h",98235,109392,41493,5,5.070709705352783
0,"v,v",97775,104957,188,5,5.071461200714111
0,"v,d",98333,107381,20281,5,5.031425714492798
0,"v,a",99214,107146,21383,5,5.0355894565582275
0,"v,r",98429,104547,20946,5,5.033125400543213
0,"v,l",98557,109572,20527,5,5.036094427108765
0,"d,h",97103,110135,20890,5,5.06942343711853
0,"d,v",96735,105091,22973,5,5.035486459732056
0,"d,d",96751,107448,43090,5,5.035998106002808
0,"d,a",96731,106618,311,5,5.035348415374756
0,"d,r",96097,104408,22727,5,5.07505202293396
0,"d,l",96810,109507,20880,5,5.069920063018799
0,"a,h",95707,108897,20966,5,5.035989761352539
0,"a,v",95430,105473,22198,5,5.035842657089233
0,"a,d",95411,106759,303,5,5.034684419631958
0,"a,a",95792,106863,42537,5,5.036004543304443
0,"a,r",95511,104239,21537,5,5.033586263656616
0,"a,l",95738,108796,20881,5,5.0322771072387695
0,"r,h",93341,108695,21030,5,5.033845901489258
0,"r,v",93684,104577,22991,5,5.034470319747925
0,"r,d",93870,106464,22330,5,5.034612655639648
0,"r,a",94135,106821,22410,5,5.03527045249939
0,"r,r",93944,104676,44275,5,5.035451412200928
0,"r,l",94390,108771,131,5,5.033151149749756
0,"l,h",97199,108531,19219,5,5.035041809082031
0,"l,v",97879,104870,21830,5,5.075781583786011
0,"l,d",98297,106667,20792,5,5.03519344329834
0,"l,a",97046,106874,20416,5,5.035592794418335
0,"l,r",97693,104240,227,5,5.035482883453369
0,"l,l",97838,108789,41561,5,5.036162853240967
