,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",893038322.0,-913444035.178293,-14071979.43741945,-7416381.129888199,-17832920.703262508,2049358.6852673558,-895083035.4029132,902224311.999748,22269700.210052773,-36701013.6830257,55167371.84442152,-6127519.235413894,5451108.931338885,-6212034.769477783,0.0,6909001.8939409675,-19565489.15157223,5049660.144535411,-24425132.360245842,-3507537.679433339,-54280244.76831459,874059510.2729571,-886568095.3459764,20051167.440875687,20177940.741971523,-10268780.40454445,36383794.398722224,-919529153.6308932,926353496.9749885,-47413357.62562361,20220198.509003468,-16332769.97362848,0.0,-59139887.97698821,46293240.76771319,0.0
"a,d",-913444035.178293,934502911.9999999,14394964.926451385,7586604.764482634,18242228.76400833,-2096396.354761811,915627325.7950578,-922932511.7214813,-22780842.942076396,37543389.477145135,-56433594.59980764,6268160.415656939,-5576224.881990284,6354615.78279305,0.0,-7067579.9650882,20014563.79029861,-5165561.888093756,24985747.400624998,3588044.034437495,55526105.84145625,-894121260.6233723,906916947.5560946,-20511389.55475348,-20641072.60545765,10504473.405326385,-37218889.25380695,940634540.739178,-947615519.038841,48501607.26164721,-20684300.2890257,16707645.99734236,0.0,60497289.45178264,-47355781.05051598,0.0
"a,h",-14071979.43741945,14394964.926451385,221778.0,0.0,0.0,0.0,14105613.923431247,-14218153.304307632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13774304.182298606,13971426.97956805,0.0,0.0,0.0,0.0,14490860.310651388,-14598405.140267361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,l",-7416381.129888199,7586604.764482634,0.0,61600.5,0.0,0.0,7434107.574712498,-7493419.411026382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7259496.794267355,7363386.783599301,0.0,0.0,0.0,0.0,7637144.684682637,-7693824.23348611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,r",-17832920.703262508,18242228.76400833,0.0,0.0,356168.0,0.0,17875544.495088197,-18018161.66305069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17455687.404741663,17705494.137925,0.0,0.0,0.0,0.0,18363753.58500833,-18500041.335210416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a,v",2049358.6852673558,-2096396.354761811,0.0,0.0,0.0,4704.5,-2054257.0101319477,2070646.570529175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2034714.828445145,0.0,0.0,0.0,0.0,-2110361.9833618086,2126024.1672694446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,a",-895083035.4029132,915627325.7950578,14105613.923431247,7434107.574712498,17875544.495088197,-2054257.0101319477,897311884.5,-904380785.5206516,-22322928.679096535,36788735.509075,-55299231.48847778,6142165.075436804,-5464138.03281042,6226882.616372913,0.0,-6925515.613958336,19612254.08427847,-5061729.713363892,24483512.68810486,3515921.3064173586,54409984.02378611,-876148665.0036924,888687147.7773745,-20099093.229523614,-20226169.540927783,10293324.581306249,-36470758.01542709,921726988.7424579,-928567643.4579111,47526683.822727084,-20268528.31139584,16371808.14347222,0.0,59281242.62761251,-46403889.69018611,0.0
"d,d",902224311.999748,-922932511.7214813,-14218153.304307632,-7493419.411026382,-18018161.66305069,2070646.570529175,-904380785.5206516,911687700.5,22501028.589164592,-37082248.54146388,55740427.54738334,-6191169.355502076,5507732.782650702,-6276562.801765964,0.0,6980769.730702785,-19768727.311460413,5102113.912897229,-24678850.471634023,-3543972.5213215207,-54844085.36435278,883138876.7597687,-895777395.8095646,20259450.62473751,20387540.794133343,-10375448.222432632,36761734.11523405,-929080839.8524814,935976071.63555,-47905867.8554118,20430237.517265286,-16502427.991866661,0.0,-59754208.52452639,46774115.68967502,0.0
"d,h",22269700.210052773,-22780842.942076396,0.0,0.0,0.0,0.0,-22322928.679096535,22501028.589164592,555458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21798612.349173613,-22110570.280959733,0.0,0.0,0.0,0.0,-22932602.789876394,23102798.541204862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"d,l",-36701013.6830257,37543389.477145135,0.0,0.0,0.0,0.0,36788735.509075,-37082248.54146388,0.0,1508584.5,-2267429.6922902777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230967.9539736104,-35924649.30160485,36438763.645861804,0.0,0.0,0.0,0.0,37793493.438945144,-38073980.22332361,0.0,0.0,0.0,0.0,2430703.7567999996,0.0,0.0
"d,r",55167371.84442152,-56433594.59980764,0.0,0.0,0.0,0.0,-55299231.48847778,55740427.54738334,0.0,-2267429.6922902777,3408660.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3353494.2591791674,54000374.58144236,-54773168.963890985,0.0,0.0,0.0,2247831.529907639,-56809540.026807636,57231155.594723605,-2929250.287738194,0.0,0.0,0.0,-3653728.454352778,2860048.2148486115,0.0
"d,v",-6127519.235413894,6268160.415656939,0.0,0.0,0.0,0.0,6142165.075436804,-6191169.355502076,0.0,0.0,0.0,42050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5997899.173093051,6083734.555173607,0.0,0.0,0.0,0.0,6309917.214256943,-6356746.661061806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"h,a",5451108.931338885,-5576224.881990284,0.0,0.0,0.0,0.0,-5464138.03281042,5507732.782650702,0.0,0.0,0.0,0.0,33282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5335797.489259727,-5412157.595273617,0.0,0.0,0.0,0.0,-5613372.19219028,5655032.186290973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
