,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"a,a",5210265280.5,-5489865139.5,-224476119.0,-246780817.5,-179356317.0,-35166904.5,-5453320141.5,5266511911.5,99631056.0,-223251147.0,219116866.5,-197118411.0,-24397359.0,-70435890.0,7502953.5,-11330991.0,-151284042.0,-100141461.0,-148272652.5,-171445039.5,-456251029.5,5088737850.0,-5365581522.0,74570170.5,-117291069.0,-191248753.5,297668196.0,-5646508434.0,5328526119.0,-396125320.5,57675765.0,-164503531.5,-83706420.0,-348912858.0,197526735.0,-9595614.0
"a,d",-5489865139.5,5784469240.5,236522241.0,260023882.5,188981163.0,37054075.5,5745963118.5,-5549130148.5,-104977584.0,235231533.0,-230875393.5,207696429.0,25706601.0,74215710.0,-7905586.5,11939049.0,159402438.0,105515379.0,156229447.5,180645340.5,480734950.5,-5361816150.0,5653516158.0,-78571849.5,123585291.0,201511786.5,-313642044.0,5949518526.0,-5614472241.0,417382699.5,-60770835.0,173331328.5,88198380.0,367636662.0,-208126665.0,10110546.0
"a,h",-224476119.0,236522241.0,9671202.0,10632165.0,7727286.0,1515111.0,234947757.0,-226899417.0,-4292448.0,9618426.0,-9440307.0,8492538.0,1051122.0,3034620.0,-323253.0,488178.0,6517836.0,4314438.0,6388095.0,7386441.0,19656861.0,-219240300.0,231167676.0,-3212739.0,5053302.0,8239653.0,-12824568.0,243270972.0,-229571202.0,17066439.0,-2484870.0,7087377.0,3606360.0,15032364.0,-8510130.0,413412.0
"a,l",-246780817.5,260023882.5,10632165.0,11688612.5,8495095.0,1665657.5,258292952.5,-249444902.5,-4718960.0,10574145.0,-10378327.5,9336385.0,1155565.0,3336150.0,-355372.5,536685.0,7165470.0,4743135.0,7022837.5,8120382.5,21610032.5,-241024750.0,254137270.0,-3531967.5,5555415.0,9058372.5,-14098860.0,267443190.0,-252382165.0,18762217.5,-2731775.0,7791602.5,3964700.0,16526030.0,-9355725.0,454490.0
"a,r",-179356317.0,188981163.0,7727286.0,8495095.0,6174098.0,1210573.0,187723151.0,-181292531.0,-3429664.0,7685118.0,-7542801.0,6785534.0,839846.0,2424660.0,-258279.0,390054.0,5207748.0,3447234.0,5104085.0,5901763.0,15705823.0,-175172900.0,184702868.0,-2566977.0,4037586.0,6583479.0,-10246824.0,194373396.0,-183427286.0,13636077.0,-1985410.0,5662811.0,2881480.0,12010852.0,-6799590.0,330316.0
"a,v",-35166904.5,37054075.5,1515111.0,1665657.5,1210573.0,237360.5,36807413.5,-35546543.5,-672464.0,1506843.0,-1478938.5,1330459.0,164671.0,475410.0,-50641.5,76479.0,1021098.0,675909.0,1000772.5,1157175.5,3079485.5,-34346650.0,36215218.0,-503314.5,791661.0,1290841.5,-2009124.0,38111346.0,-35965111.0,2673664.5,-389285.0,1110323.5,564980.0,2355002.0,-1333215.0,64766.0
"d,a",-5453320141.5,5745963118.5,234947757.0,258292952.5,187723151.0,36807413.5,5707713324.5,-5512190634.5,-104278768.0,233665641.0,-229338499.5,206313833.0,25535477.0,73721670.0,-7852960.5,11859573.0,158341326.0,104812983.0,155189457.5,179442818.5,477534788.5,-5326123550.0,5615881766.0,-78048811.5,122762607.0,200170360.5,-311554188.0,5909913702.0,-5577097757.0,414604261.5,-60366295.0,172177494.5,87611260.0,365189374.0,-206741205.0,10043242.0
"d,d",5266511911.5,-5549130148.5,-226899417.0,-249444902.5,-181292531.0,-35546543.5,-5512190634.5,5323365744.5,100706608.0,-225661221.0,221482309.5,-199246373.0,-24660737.0,-71196270.0,7583950.5,-11453313.0,-152917206.0,-101222523.0,-149873307.5,-173295848.5,-461176418.5,5143672550.0,-5423504846.0,75375181.5,-118557267.0,-193313350.5,300881628.0,-5707464462.0,5386049417.0,-400401631.5,58298395.0,-166279404.5,-84610060.0,-352679494.0,199659105.0,-9699202.0
"d,h",99631056.0,-104977584.0,-4292448.0,-4718960.0,-3429664.0,-672464.0,-104278768.0,100706608.0,1905152.0,-4269024.0,4189968.0,-3769312.0,-466528.0,-1346880.0,143472.0,-216672.0,-2892864.0,-1914912.0,-2835280.0,-3278384.0,-8724464.0,97307200.0,-102601024.0,1425936.0,-2242848.0,-3657072.0,5692032.0,-107972928.0,101892448.0,-7574736.0,1102880.0,-3145648.0,-1600640.0,-6671936.0,3777120.0,-183488.0
"d,l",-223251147.0,235231533.0,9618426.0,10574145.0,7685118.0,1506843.0,233665641.0,-225661221.0,-4269024.0,9565938.0,-9388791.0,8446194.0,1045386.0,3018060.0,-321489.0,485514.0,6482268.0,4290894.0,6353235.0,7346133.0,19549593.0,-218043900.0,229906188.0,-3195207.0,5025726.0,8194689.0,-12754584.0,241943436.0,-228318426.0,16973307.0,-2471310.0,7048701.0,3586680.0,14950332.0,-8463690.0,411156.0
"d,r",219116866.5,-230875393.5,-9440307.0,-10378327.5,-7542801.0,-1478938.5,-229338499.5,221482309.5,4189968.0,-9388791.0,9214924.5,-8289783.0,-1026027.0,-2962170.0,315535.5,-476523.0,-6362226.0,-4211433.0,-6235582.5,-7210093.5,-19187563.5,214006050.0,-225648666.0,3136036.5,-4932657.0,-8042935.5,12518388.0,-237463002.0,224090307.0,-16658986.5,2425545.0,-6918169.5,-3520260.0,-14673474.0,8306955.0,-403542.0
"d,v",-197118411.0,207696429.0,8492538.0,9336385.0,6785534.0,1330459.0,206313833.0,-199246373.0,-3769312.0,8446194.0,-8289783.0,7457522.0,923018.0,2664780.0,-283857.0,428682.0,5723484.0,3788622.0,5609555.0,6486229.0,17261209.0,-192520700.0,202994444.0,-2821191.0,4437438.0,7235457.0,-11261592.0,213622668.0,-201592538.0,14986491.0,-2182030.0,6223613.0,3166840.0,13200316.0,-7472970.0,363028.0
"h,a",-24397359.0,25706601.0,1051122.0,1155565.0,839846.0,164671.0,25535477.0,-24660737.0,-466528.0,1045386.0,-1026027.0,923018.0,114242.0,329820.0,-35133.0,53058.0,708396.0,468918.0,694295.0,802801.0,2136421.0,-23828300.0,25124636.0,-349179.0,549222.0,895533.0,-1393848.0,26440092.0,-24951122.0,1854879.0,-270070.0,770297.0,391960.0,1633804.0,-924930.0,44932.0
