# Crystal_length_mm,Pairs_per_pulse
5.000000000000000000e-01,4.141768976126300461e-01
5.918367346938775420e-01,6.680386526037933592e-01
6.836734693877550839e-01,1.046144632973239119e+00
7.755102040816326259e-01,1.607732158979765957e+00
8.673469387755101678e-01,2.440784340805580044e+00
9.591836734693877098e-01,3.675814265915971824e+00
1.051020408163265252e+00,5.506312296805288220e+00
1.142857142857142794e+00,8.219059927865508541e+00
1.234693877551020336e+00,1.223905942974413463e+01
1.326530612244897878e+00,1.819611834396778605e+01
1.418367346938775420e+00,2.702352052486115497e+01
1.510204081632653184e+00,4.010424237901764855e+01
1.602040816326530726e+00,5.948762179031258057e+01
1.693877551020408267e+00,8.821042493938865903e+01
1.785714285714285809e+00,1.307726120945543471e+02
1.877551020408163351e+00,1.938423399164418583e+02
1.969387755102040893e+00,2.873006519737618305e+02
2.061224489795918657e+00,4.257895276310759414e+02
2.153061224489795755e+00,6.310058199018598089e+02
2.244897959183673741e+00,9.351004702118273144e+02
2.336734693877550839e+00,1.385715550161629835e+03
2.428571428571428825e+00,2.053448276379137496e+03
2.520408163265306367e+00,3.042911374935426920e+03
2.612244897959183909e+00,4.509122606713771347e+03
2.704081632653061451e+00,6.681791177104248163e+03
2.795918367346938993e+00,9.901305946909027625e+03
2.887755102040816535e+00,1.467206366571275248e+04
2.979591836734694077e+00,2.174149208535838625e+04
3.071428571428571619e+00,3.221714839108812885e+04
3.163265306122449161e+00,4.774023859317785536e+04
3.255102040816326703e+00,7.074274291264642670e+04
3.346938775510204245e+00,1.048284306254925032e+05
3.438775510204081787e+00,1.553374574132385605e+05
3.530612244897959329e+00,2.301829998748425860e+05
3.622448979591836871e+00,3.410910015259552165e+05
3.714285714285714413e+00,5.054372595085600042e+05
3.806122448979591955e+00,7.489696657442259602e+05
3.897959183673469497e+00,1.109842092138079228e+06
3.989795918367347038e+00,1.644591902828014456e+06
4.081632653061224580e+00,2.436997581728031393e+06
4.173469387755101678e+00,3.611204187136409339e+06
4.265306122448979664e+00,5.351172979508790188e+06
4.357142857142857650e+00,7.929502367612414993e+06
4.448979591836734748e+00,1.175013550925319642e+07
4.540816326530612734e+00,1.741164550497203693e+07
4.632653061224489832e+00,2.580101298500665650e+07
4.724489795918367818e+00,3.823258808922538906e+07
4.816326530612244916e+00,5.665400781361109763e+07
4.908163265306122902e+00,8.395132949787802994e+07
5.000000000000000000e+00,1.244011852789699286e+08
